Job_title,Job_role,Company,Job_location,Job_summary,Post_date,Today,Job_salary,Job_url
Data Engineer,Data Engineer,Siemens,"Bengaluru, Karnataka+1 location","Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using AWS ‘big data’…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Engineer- O9,Data Engineer,Acies Global,"Remote in Bengaluru, Karnataka","Passion for working with data - data processing, data storage, data visualization, data quality, data infrastructure, security.",EmployerActive 2 days ago,2023-03-19,"₹10,00,000 - ₹20,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Senior Data Engineer,Data Engineer,McKinsey & Company,"Gurgaon District, Haryana","4+ years of experience with data modelling and data warehousing concepts.
By leveraging engineering frameworks and best practices, you will design and develop…",PostedPosted 2 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Analytics Engineer for ADAS Development,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Development of Data Analytics algorithms for gaining insights in ADAS vehicle measurement data.
Development of Data Analytics algorithms for gaining insights in…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Engineer II,Data Engineer,McKinsey & Company,"Gurgaon District, Haryana","2+ years of experience with data modelling and data warehousing concepts.
2+ years of implementing data pipelines or data-intensive assets using SQL and Python.",PostedPosted 2 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
(India-Bangalore) Data Engineer,Data Engineer,Wesco,"Bengaluru, Karnataka","This person will work independently or with a team of data engineers on cloud technology products, projects, and initiatives.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Data Engineer II,Data Engineer,Akamai,Temporarily Remote in India,"Culture. We enable data structures to be leveraged together by combining practices, architectural techniques, and tools for ingesting, transforming, combining…",PostedPosted 17 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
AWS DATA ENGINEER,Data Engineer,Employee Hub,"Gurgaon, Haryana",": Hands-on working experience in analyzing source system data and data flows, working with structured and unstructured data.",Hiring ongoing,2023-03-19,"₹26,00,000 - ₹28,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Data Engineer (Kirby Corp.),Data Engineer,systems plus,"Pune, Maharashtra","Research new opportunities for data acquisition.
Develop data models for database structures.
Dentify and evaluate current data management technologies.",PostedToday,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Engineer,Data Engineer,Ericsson,"Noida, Uttar Pradesh","They also need to back up, retrieve, maintain, and migrate programs and data.
The Engineer is to take full responsibility of troubleshooting/Configuration/…",PostedToday,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Data Engineer,Data Engineer,Btrnsfrmd Consulting LLC,"Remote in Pune, Maharashtra","Execute data integrity checks, automate manual data manipulation processes for efficiency.
Collaborate with data specialist teams to understand variables, data…",PostedPosted 11 days ago,2023-03-19,"₹4,50,000 - ₹6,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Data Engineer (Airflow/Spark),Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",Exploratory data analysis for extracting business insights from large volume of data using data science toolkits and statistical packages.,PostedPosted 5 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Big Data Engineer,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","The development or the customer cars then collect various vehicle, sensor and environment data.
This data is further analysed and the performance of the ADAS…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Data Engineer,Data Engineer,Apps Associates,Delhi,"Hands-on experience in building data solutions for advanced analytics.
Senior resource with anything between 5 to 10 plus years of experience with strong hands…",PostedPosted 3 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
AWS Data Engineer,Data Engineer,GWC Technologies,"Bengaluru, Karnataka","3+ years of experience in Big Data tools such as *Hadoop, Spark, etc.*.
Hands on Experience in Object Oriented or functional programming such as *Scala or Java…",PostedPosted 1 day ago,2023-03-19,"₹7,96,296 - ₹21,50,927",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Python Backend Engineer,Data Engineer,Ascendeum Pvt Ltd,"Remote in New Delhi, Delhi","Recording data and reporting it to proper parties, such as clients or leadership.
Compile and analyze data, processes, and codes to troubleshoot problems and…",PostedPosted 10 days ago,2023-03-19,"₹8,00,000 - ₹15,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Analytics Data Engineer / Data Scientist,Data Engineer,COMPEGENCE,"Bengaluru, Karnataka","Ability to operationalise the data pipeline.
Operationalise 360 degree Analytical data feedback loop.
4 plus Customer Project experience handling large scale…",PostedPosted 30+ days ago,2023-03-19,"₹90,000 - ₹1,50,000 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Data Engineer – Associate,Data Engineer,BIG IT JOBS,India,"Supporting the day to day activities of the data engineering team by extracting, analyzing and presenting data from disparate sources into a form that is…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=30
Frontend Engineer,Data Engineer,Chqbook,"Gurgaon District, Haryana","Chqbook’s custom product programs don’t depend on traditional underwriting principles - we use alternate data and work with credit bureaus, partners and…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
XENTRY Retail application Test Engineer,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Expertise with Validation of Web Based Application & Mobile Application.
Review and analyze client-specific requirements.
Status reporting to management.",PostedPosted 8 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Engineer,Data Engineer,Ericsson,"Noida, Uttar Pradesh","They also need to back up, retrieve, maintain, and migrate programs and data.
The Engineer is to take full responsibility of troubleshooting/Configuration/…",PostedToday,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Senior Data Engineer,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Collaborating with data scientists, data analysts, and other stakeholders to understand their data needs and identify opportunities to leverage data to solve…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Senior Data Engineer,Data Engineer,McKinsey & Company,"Gurgaon District, Haryana","4+ years of experience with data modelling and data warehousing concepts.
By leveraging engineering frameworks and best practices, you will design and develop…",PostedPosted 2 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Sr. Data Engineer,Data Engineer,Lifesight LLC,"Bengaluru, Karnataka","Design and implement data management services for data trust, data compliance, data access, and metadata management in the form of scalable and configurable…",PostedPosted 12 days ago,2023-03-19,"₹20,00,000 - ₹40,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Data Engineer,Data Engineer,Targray,"Gurgaon District, Haryana","Developing and maintaining databases, data systems – reorganizing data in a readable format.
Performing analyses to assess quality and meaning of data and…",PostedPosted 8 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Data Engineer- O9,Data Engineer,Acies Global,"Remote in Bengaluru, Karnataka","Passion for working with data - data processing, data storage, data visualization, data quality, data infrastructure, security.",EmployerActive 2 days ago,2023-03-19,"₹10,00,000 - ₹20,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Data Engineer – Associate,Data Engineer,BIG IT JOBS,India,"Supporting the day to day activities of the data engineering team by extracting, analyzing and presenting data from disparate sources into a form that is…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Sr. Data Engineer,Data Engineer,Etech Global Services,"Remote in Gandhinagar, Gujarat","Should able to extract/fetch data from API using Python.
Sounds knowledge in getting data from different types of Storage and APIs source.",PostedPosted 11 days ago,2023-03-19,"Up to ₹11,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Data Quality Engineer,Data Engineer,Autodesk,"Bengaluru, Karnataka","Create, maintain, and improve data quality tracking mechanisms that identifies disruptions in data ingestion and processing.",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Software Engineer,Data Engineer,Futuryze Digital,"Remote in Bengaluru, Karnataka","Communicating key project data to team members and building cohesion among teams.
Analyzing data to effectively coordinate the installation of new systems or…",PostedPosted 1 day ago,2023-03-19,"₹28,00,000 - ₹60,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Data Scientist,Data Engineer,Bosch Group,"Bengaluru, Karnataka","Experience: At least 2 years of experience of professional data science.
Proven track record in machine learning, neural networks, pattern analysis, time series…",PostedToday,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Data Warehouse Engineer,Data Engineer,Larsen & Toubro Limited,"Chennai, Tamil Nadu","Ability to profile data, assess data quality in the context of business rules, and incorporate validation and certification mechanisms to ensure data quality.",PostedPosted 11 days ago,2023-03-19,"₹10,00,000 - ₹18,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=40
Data Engineer II,Data Engineer,Availity India,India,"Ensure industry best practices around data pipelines, metadata management, data quality, data governance, and data privacy.
3+ years using Apache Spark.",PostedPosted 3 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Data Engineer,Data Engineer,BT,"Bengaluru, Karnataka","Applies data expertise to develop and advise on data solutions.
Technical knowledge of data architectures.
Work with structured and unstructured data.",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Data Engineer- Data Bricks,Data Engineer,Response Informatics,India,"Expereince in Azure data management components - ADLS , AZURE SQL.
Expereince in using MS Azure data management and processing components through IaaS/PaaS/SaaS…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
Data Engineer,Data Engineer,Vodafone,"Pune, Maharashtra","They perform detailed data analysis, implement dashboards and ensure decision support systems are in place that best serve the business in their decision making…",PostedPosted 29 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=50
